지역별,서비스업사업체수 (개),제조업사업체수 (개),제조업종사자수 (명),도소매업사업체수 (개),도소매업종사자수 (명),운수업사업체수 (개),운수업종사자수 (명),사업체수 (개),종사자수 (명),EQ-5D (점),가구수 (가구),고위험음주율 (%),논경지면적 (헥타르),농가수 (가구),농가인구 (명),도시지역면적,등록외국인 현황 (명),순이동인구 (명),스트레스 인지율 (%),유치원 교원수 (명),유치원 원아수 (명),유치원수 (개),음주율 (%),인구총조사 인구,전입인구 (명),전출인구 (명),조이혼율,조혼인율,주관적 건강수준인지율 (%),주민등록인구 (명),주택수 (호),초등학교 교원수 (명),초등학교 학생수 (명),초등학교수 (개),출생아수 (명),토지거래면적 (천㎡),평균연령,학급당 학생수 (명),합계출산율,혼인건수 (건),화재발생건수 (건),흡연율 (%)
가평군,5557.0,340.0,1881.0,1177.0,3014.0,239.0,746.0,6818.0,27728.0,0.972,25361,27.1,1141,3192,8261,81889445,1047,-204,24.4,33,280,14,57.9,59823,6886,7090,2.2,4.4,53.9,62415,25995,244,2583,13,261,11483,48,18.33,0.971,272,154,20.7
고양시,50901.0,5858.0,32669.0,18468.0,65854.0,7244.0,19324.0,69255.0,332904.0,0.9590000000000001,390836,15.3,1281,5179,15442,194127720,12508,21089,31.1,1054,13049,171,61.2,1024645,165154,144065,1.8,4.2,42.2,1066351,327782,3238,54934,84,5538,8723,42,24.1,0.802,4440,524,19.7
과천시,2949.0,79.0,328.0,1295.0,4309.0,307.0,946.0,3675.0,34827.0,0.971,19023,7.4,8,333,919,35853000,173,106,27.9,32,316,7,57.8,53830,7869,7763,1.4,4.2,54.5,58289,13008,175,2826,4,282,1098,42,23.5,0.78,240,38,11.8
광명시,13491.0,1756.0,15337.0,4918.0,17751.0,2325.0,5579.0,18990.0,94647.0,0.972,118926,18.3,113,578,1647,38506473,5942,-10838,26.2,302,3435,48,60.2,313462,38523,49361,1.7,4.7,50.0,316552,103740,1163,18420,25,1827,1324,42,24.24,0.84,1489,148,15.4
광주시,15646.0,6587.0,48720.0,6083.0,24040.0,3354.0,10543.0,27420.0,138040.0,0.968,141279,23.3,712,3520,9406,172259487,12986,7658,22.0,212,2550,42,66.5,375238,50192,42534,2.9,5.3,51.5,372654,125545,1067,19866,27,2662,15241,41,25.91,1.043,1931,352,25.1
구리시,11029.0,818.0,4063.0,4250.0,14422.0,1661.0,4041.0,14648.0,66759.0,0.963,72624,23.0,0,484,1274,33292067,1490,-4641,24.8,183,2171,30,61.0,192270,23107,27748,2.0,4.0,50.8,199265,58998,629,10213,16,1176,680,42,24.75,0.872,793,108,17.7
군포시,11423.0,3125.0,28265.0,3389.0,12759.0,1876.0,9972.0,17736.0,108524.0,0.951,104573,15.2,78,345,828,36460228,7010,-1943,25.9,263,3245,49,59.2,275154,35183,37126,1.9,4.7,31.6,275852,90977,956,15126,26,1985,951,42,23.99,1.046,1294,127,20.1
김포시,17963.0,9291.0,73772.0,6467.0,22700.0,2397.0,6810.0,31385.0,165298.0,0.956,162871,13.4,5115,5013,13779,101933117,20335,12390,26.6,731,10084,90,62.4,442910,63503,51113,2.1,4.5,34.8,437221,146321,1749,31544,43,3160,11583,39,25.0,1.016,1934,451,16.8
남양주시,25656.0,5702.0,33453.0,9026.0,32898.0,4083.0,8792.0,38058.0,165207.0,0.9590000000000001,246337,16.3,265,4289,11769,242423014,7477,19271,27.0,763,9895,110,55.8,681077,96451,77180,2.3,3.8,42.3,701830,233886,2547,44661,64,3855,16021,41,24.79,0.9079999999999999,2630,394,20.1
동두천시,4760.0,506.0,5712.0,1427.0,3580.0,709.0,1352.0,6568.0,28264.0,0.958,38390,19.6,66,673,1866,33565811,3477,-1153,19.0,64,654,19,56.0,96541,11891,13044,3.1,3.9,61.2,94768,37452,323,5014,11,426,1634,45,21.98,0.8540000000000001,361,105,28.8
