시군,총인구수,할인율_상시,할인율_한시,구매한도_월,구매한도_연,지역화폐사용액(천원),경제활동참가율,서비스업사업체비율,제조업사업체비율,도소매업사업체비율,운수업사업체비율,제조업종사자비율,도소매업종사자비율,운수업종사자비율,농업가구비율,합계출산율,도시지역면적,주택,전체대비주택비율,면적대비주택비율,미성년비율,청년비율,중년비율,장년비율,노년비율
수원시,1194465,0.06,0.1,50,400,22696236.0,62.6,0.7598480412848408,0.05299492109312237,0.2340109747960948,0.10505031249574487,0.1066245495395293,0.1301997597544156,0.041351158962494985,0.005607254385361061,0.89,121182030,354566,0.0869895467596476,0.0029258958609622234,0.1917139792030355,0.2173957465398579,0.2608912783456848,0.2265602567648266,0.10343873914659517
성남시,942724,0.06,0.0,10,50,86074070.0,62.0,0.7679015737815024,0.0635618445757201,0.24954587779151596,0.09082444169681428,0.08541106251474302,0.15963149477474825,0.03276684058924479,0.0021914887316018604,0.852,141820898,251281,0.06164951038540359,0.0017718192702460536,0.17235108002529348,0.19868787172521368,0.2531279126398209,0.2417027015674472,0.1341304340422247
의정부시,451868,0.06,0.1,40,400,9062650.0,59.4,0.7588796803315081,0.04961521385230132,0.2337205860589019,0.11469587094864585,0.058894180989852975,0.1630648167322427,0.050942224062952984,0.005817734218960472,0.847,81598380,142635,0.03499420136748119,0.001748012644368675,0.1771328561111647,0.1872975471596028,0.2444183590175465,0.24842918943587255,0.1427220482758134
안양시,567044,0.06,0.1,30,600,20391808.0,62.1,0.7336917722648582,0.0867169373549884,0.263631090487239,0.09106728538283064,0.13542572102019562,0.1557779500552071,0.0437506362518696,0.0025389778351522195,0.98,58480054,171744,0.04213583005332976,0.0029367961937928444,0.17393606939380762,0.2008098174101452,0.2412783891360337,0.25801362455541804,0.12596209950459542
부천시,829996,0.06,0.1,40,400,31543254.0,63.0,0.660900799496797,0.17382020426067238,0.22111135020608147,0.09388707728469038,0.23315416710959924,0.14273280535771235,0.03667813862017647,0.002736976272355309,0.807,53450000,255150,0.06259873438435745,0.004773620205799813,0.1659897294614551,0.20410922829158606,0.2429807857873573,0.26362568242360396,0.12329457403599753
광명시,316552,0.06,0.1,40,480,6372380.0,61.8,0.7104265402843601,0.09246972090573986,0.2589784096893102,0.12243285939968405,0.16204422749796613,0.1875495261339504,0.058945344279269285,0.0048601651447118385,0.84,38506473,99721,0.02446564135427204,0.002589720434795469,0.18610071990290453,0.18242638868106476,0.25926480123696943,0.2424194057891499,0.1297886843899114
평택시,513027,0.06,0.1,30,360,10543560.0,63.8,0.7229679240583399,0.10563750588105056,0.2294024852627792,0.09467799518445742,0.3821536629686729,0.11161513615340528,0.0599350444514544,0.04047182754022239,1.102,151090527,171851,0.042162081531202086,0.0011374042000660968,0.19859589249290924,0.1933656025105392,0.2654324999109069,0.22434485115160716,0.11826115393403755
동두천시,94768,0.06,0.1,30,360,2106819.0,56.2,0.7247259439707674,0.07704019488428747,0.2172655298416565,0.10794762484774666,0.2020945372204925,0.12666289272572884,0.047834701386923285,0.01753060692888773,0.8540000000000001,33565811,33510,0.008221374051420021,0.0009983372664524623,0.1711490050006265,0.1611591429450159,0.2265887525772021,0.2527537618608254,0.18834933761633008
안산시,650918,0.06,0.1,0,400,27036345.0,63.4,0.63591238720868,0.17384164006421493,0.21392061705386306,0.1163987968925876,0.3914304905125287,0.1142228109782264,0.041535284935102085,0.006212825475763271,0.887,151472339,193891,0.047569395291073686,0.0012800422920781595,0.1764922451643813,0.21549873874395295,0.2468106861908138,0.26167726957760384,0.0995210603232481
고양시,1066351,0.06,0.1,40,400,28739326.0,59.7,0.7349794238683127,0.08458595047289004,0.26666666666666666,0.104598945924482,0.0981333958138082,0.1978167880229736,0.05804676423233125,0.013251082295387323,0.802,194127720,313254,0.07685402289177938,0.0016136489935594976,0.1826349848331648,0.18440647118301315,0.25362891809909,0.2513852376137513,0.1279443882709808
과천시,58289,0.06,0.1,40,480,6683191.0,55.3,0.8024489795918367,0.021496598639455786,0.3523809523809524,0.08353741496598639,0.009417980302638755,0.12372584489045856,0.027162833433830073,0.017505125374546602,0.78,35853000,12927,0.003171522004258628,0.0003605556020416701,0.18979175017656374,0.1823283513714711,0.2331214567943652,0.25474813415029873,0.14001030750730115
