시군명,기준년월,월별카드발행수량(건),월별카드충전액(천원),월별카드사용액(천원),월별모바일상품권이용등록자수(명),월별모바일충전액(천원),월별모바일사용액(천원),월별지류상품권판매액(천원),월별지류상품권회수액(천원)
가평군,2020-03,655,389311,297771,,,,125240,118550
가평군,2020-02,211,180458,230384,,,,70190,95570
가평군,2020-01,338,288742,247582,,,,161750,121040
가평군,2019-12,289,247214,201657,,,,101395,84750
가평군,2019-11,179,139483,188567,,,,110105,76155
가평군,2019-10,325,257462,212087,,,,18465,87160
가평군,2019-09,428,233151,172358,,,,159965,116495
가평군,2019-08,272,100956,138322,,,,65975,61785
가평군,2019-07,389,207542,113448,,,,54695,81375
가평군,2019-06,238,84932,75007,,,,63805,59540
가평군,2019-05,506,109979,59447,,,,73435,96675
가평군,2019-04,87,8870,2187,,,,64575,93815
가평군,2019-03,1,,,,,,120915,129565
가평군,2019-02,,,,,,,95445,129565
가평군,2019-01,,,,,,,153685,114460
고양시,2020-03,10166,8183828,6663098,,,,,
고양시,2020-02,5041,6134958,5866688,,,,,
고양시,2020-01,6758,9669657,6403636,,,,,
고양시,2019-12,6994,9138695,5652073,,,,,
고양시,2019-11,3448,2397604,4583013,,,,,
고양시,2019-10,5024,4542746,4017911,,,,,
고양시,2019-09,5421,6220822,4437004,,,,,
고양시,2019-08,8535,6035427,4859241,,,,,
고양시,2019-07,11964,6565309,2688638,,,,,
고양시,2019-06,4368,1094818,1478659,,,,,
고양시,2019-05,13077,3133495,1021417,,,,,
고양시,2019-04,76,9255,1370,,,,,
고양시,2019-03,,,,,,,,
고양시,2019-02,,,,,,,,
고양시,2019-01,,,,,,,,
과천시,2020-03,1004,1147878,720665,,,,1017245,604245
과천시,2020-02,366,381205,594092,,,,203015,332350
과천시,2020-01,935,1107789,702411,,,,836970,539720
과천시,2019-12,436,492514,548608,,,,251725,353055
과천시,2019-11,297,304364,535891,,,,225365,371615
과천시,2019-10,961,786699,616182,,,,171305,418190
과천시,2019-09,1171,866317,468413,,,,1209655,640725
과천시,2019-08,444,242187,349798,,,,220585,313650
과천시,2019-07,580,361577,346299,,,,205390,356830
과천시,2019-06,600,163510,291385,,,,171720,494290
과천시,2019-05,2356,738301,164238,,,,1189245,383995
과천시,2019-04,99,25376,1162,,,,297220,28865
과천시,2019-03,,,,,,,,
과천시,2019-02,,,,,,,,
과천시,2019-01,,,,,,,,
광명시,2020-03,6608,1816691,1364922,,,,,
광명시,2020-02,2064,1712842,1132528,,,,,
광명시,2020-01,1842,1460775,1201056,,,,,
광명시,2019-12,1328,1307969,931750,,,,,
광명시,2019-11,651,524585,889573,,,,,
광명시,2019-10,1742,1349211,862165,,,,,
광명시,2019-09,1038,497664,701032,,,,,
광명시,2019-08,1256,628310,960015,,,,,
광명시,2019-07,2997,1693869,884905,,,,,
광명시,2019-06,1246,354583,544691,,,,,
광명시,2019-05,3830,1010098,531315,,,,,
광명시,2019-04,1477,502905,66934,,,,,
광명시,2019-03,9,,,,,,,
광명시,2019-02,,,,,,,,
광명시,2019-01,,,,,,,,
광주시,2020-03,4528,3417305,2522458,,,,,
광주시,2020-02,1812,1412908,1904151,,,,,
광주시,2020-01,2095,2554825,2128133,,,,,
광주시,2019-12,2265,2185166,1840286,,,,,
광주시,2019-11,1998,1568215,1640547,,,,,
광주시,2019-10,2772,1897470,1232005,,,,,
광주시,2019-09,1279,720675,611891,,,,,
광주시,2019-08,1157,378842,656843,,,,,
광주시,2019-07,1977,1067973,619798,,,,,
광주시,2019-06,1336,388335,455882,,,,,
광주시,2019-05,4128,1140948,486051,,,,,
광주시,2019-04,740,79277,13738,,,,,
광주시,2019-03,,,,,,,,
광주시,2019-02,,,,,,,,
광주시,2019-01,,,,,,,,
구리시,2020-03,3604,1573624,967174,,,,,
구리시,2020-02,884,779041,701499,,,,,
구리시,2020-01,1289,958042,831592,,,,,
구리시,2019-12,1182,1206967,745319,,,,,
구리시,2019-11,505,263086,611937,,,,,
구리시,2019-10,1462,1106018,679158,,,,,
구리시,2019-09,1084,591082,429976,,,,,
구리시,2019-08,610,195288,516560,,,,,
구리시,2019-07,1527,801086,523667,,,,,
구리시,2019-06,1359,509439,387779,,,,,
구리시,2019-05,2625,693291,116924,,,,,
구리시,2019-04,,,,,,,,
구리시,2019-03,,,,,,,,
구리시,2019-02,,,,,,,,
구리시,2019-01,,,,,,,,
군포시,2020-03,6334,4263997,3047797,,,,,
군포시,2020-02,1687,1510611,2493120,,,,,
군포시,2020-01,3076,4112492,3165515,,,,,
