시군,총인구수,할인율_상시,할인율_한시,구매한도_월,구매한도_연,지역화폐사용액(천원),경제활동참가율,서비스업사업체비율,제조업사업체비율,도소매업사업체비율,운수업사업체비율,농업가구비율,합계출산율,도시지역면적,주택,전체대비주택비율,면적대비주택비율,미성년비율,청년비율,중년비율,장년비율,노년비율,cluster_id
수원시,1194465,0.06,0.1,50,400,22696236.0,62.6,0.7598480412848408,0.05299492109312237,0.2340109747960948,0.10505031249574487,0.005607254385361061,0.89,121182030,354566,0.0869895467596476,0.0029258958609622234,0.1917139792030355,0.2173957465398579,0.2608912783456848,0.2265602567648266,0.10343873914659517,0
의정부시,451868,0.06,0.1,40,400,9062650.0,59.4,0.7588796803315081,0.04961521385230132,0.2337205860589019,0.11469587094864585,0.005817734218960472,0.847,81598380,142635,0.03499420136748119,0.001748012644368675,0.1771328561111647,0.1872975471596028,0.2444183590175465,0.2484291894358725,0.1427220482758134,3
부천시,829996,0.06,0.1,40,400,31543254.0,63.0,0.660900799496797,0.17382020426067238,0.22111135020608147,0.09388707728469038,0.002736976272355309,0.807,53450000,255150,0.06259873438435745,0.004773620205799813,0.1659897294614551,0.20410922829158606,0.2429807857873573,0.263625682423604,0.12329457403599753,0
광명시,316552,0.06,0.1,40,480,6372380.0,61.8,0.7104265402843601,0.09246972090573986,0.2589784096893102,0.12243285939968405,0.004860165144711839,0.84,38506473,99721,0.024465641354272042,0.002589720434795469,0.18610071990290453,0.1824263886810648,0.25926480123696943,0.2424194057891499,0.1297886843899114,3
동두천시,94768,0.06,0.1,30,360,2106819.0,56.2,0.7247259439707674,0.07704019488428747,0.2172655298416565,0.10794762484774666,0.01753060692888773,0.8540000000000001,33565811,33510,0.008221374051420021,0.0009983372664524623,0.1711490050006265,0.1611591429450159,0.2265887525772021,0.2527537618608254,0.18834933761633008,3
안산시,650918,0.06,0.1,0,400,27036345.0,63.4,0.63591238720868,0.17384164006421493,0.21392061705386306,0.1163987968925876,0.006212825475763271,0.887,151472339,193891,0.047569395291073686,0.0012800422920781595,0.1764922451643813,0.21549873874395292,0.2468106861908138,0.26167726957760384,0.0995210603232481,7
고양시,1066351,0.06,0.1,40,400,28739326.0,59.7,0.7349794238683127,0.08458595047289004,0.26666666666666666,0.10459894592448199,0.013251082295387323,0.802,194127720,313254,0.07685402289177938,0.0016136489935594976,0.1826349848331648,0.18440647118301315,0.25362891809909,0.2513852376137513,0.1279443882709808,0
과천시,58289,0.06,0.1,40,480,6683191.0,55.3,0.8024489795918367,0.021496598639455786,0.3523809523809524,0.08353741496598639,0.017505125374546602,0.78,35853000,12927,0.003171522004258628,0.00036055560204167013,0.18979175017656372,0.1823283513714711,0.2331214567943652,0.25474813415029873,0.14001030750730115,3
구리시,199265,0.06,0.1,50,600,4011320.0,60.5,0.7529355543418896,0.055843801201529215,0.2901419989077007,0.11339432004369195,0.006664463538224278,0.872,33292067,57693,0.0141544533914824,0.0017329353566421695,0.17994403730846106,0.1869686875416389,0.2521625582944704,0.25468887408394403,0.12623584277148567,3
남양주시,701830,0.06,0.1,50,600,12979396.0,57.8,0.6741289610594356,0.1498239529139734,0.2371643281307478,0.1072836197382942,0.017411107547790218,0.9079999999999999,242423014,221641,0.05437760567385213,0.0009142737578536996,0.20884707097401314,0.15851521088683346,0.2694582403061922,0.2312601570450024,0.13191932078795887,1
