"행정구역별(시군구)","거처의종류",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"행정구역별(시군구)","거처의종류",거처,가구-계,일반가구,집단가구-비혈연 6인이상 가구,집단가구-집단시설가구,외국인가구,가구원-계,일반가구원,집단가구원-비혈연 6인이상 가구,집단가구원-집단시설가구,외국인가구원
"대구광역시","계",780529,979852,968620,195,364,10673,2393643,2332499,1565,38960,20619
"대구광역시","주택",759619,954940,945728,128,7,9077,2313674,2296825,1038,235,15576
"대구광역시","단독주택",140395,330205,323026,40,X,7137,651770,639753,304,59,11654
"대구광역시","아파트",551339,551818,550485,21,X,1312,1483720,1481019,153,X,2548
"대구광역시","연립주택",8494,8505,8483,X,X,22,20470,20428,X,X,42
"대구광역시","다세대주택",49650,49724,49516,7,X,201,124206,123783,54,X,369
"대구광역시","비거주용건물내 주택",9741,14688,14218,60,5,405,33508,31842,527,176,963
"대구광역시","주택이외의 거처",20910,24912,22892,67,357,1596,79969,35674,527,38725,5043
"대구광역시","오피스텔",9864,9871,9821,X,X,49,14217,14146,10,X,61
"중구","계",26955,34523,34207,21,20,275,74560,72483,183,1459,435
"중구","주택",23854,30819,30565,17,X,235,68068,67519,152,21,376
"중구","단독주택",6181,12833,12660,7,X,165,22563,22239,63,11,250
"중구","아파트",15471,15478,15431,X,X,47,40115,40029,X,X,86
"중구","연립주택",476,476,476,X,X,X,880,880,X,X,X
"중구","다세대주택",988,992,985,X,X,7,2165,2154,X,X,11
"중구","비거주용건물내 주택",738,1040,1013,10,X,16,2345,2217,89,10,29
"중구","주택이외의 거처",3101,3704,3642,X,18,40,6492,4964,31,1438,59
"중구","오피스텔",2137,2137,2125,X,X,12,2718,2704,X,X,14
"동구","계",117888,139879,139168,25,55,631,333191,328007,183,3954,1047
"동구","주택",114397,135641,135039,16,X,584,322977,321781,125,109,962
"동구","단독주택",22425,42847,42440,9,X,398,87521,86850,71,X,600
"동구","아파트",75909,75961,75836,X,X,124,194404,194160,6,X,238
"동구","연립주택",2128,2129,2125,X,X,X,4987,4979,X,X,8
"동구","다세대주택",12337,12352,12318,X,X,32,30620,30553,12,X,55
"동구","비거주용건물내 주택",1598,2352,2320,X,X,26,5445,5239,36,109,61
"동구","주택이외의 거처",3491,4238,4129,9,53,47,10214,6226,58,3845,85
"동구","오피스텔",1999,2000,1990,X,X,10,2675,2663,X,X,12
"서구","계",51477,75067,73980,14,34,1039,172541,167446,94,3024,1977
"서구","주택",50331,73492,72601,6,X,885,166662,165145,41,X,1476
"서구","단독주택",20751,43384,42615,X,X,767,90858,89593,12,X,1253
"서구","아파트",17715,17731,17690,X,X,41,45895,45813,X,X,82
"서구","연립주택",720,725,720,X,X,5,1814,1807,X,X,7
"서구","다세대주택",10077,10089,10042,X,X,45,24624,24529,13,X,82
"서구","비거주용건물내 주택",1068,1563,1534,X,X,27,3471,3403,16,X,52
"서구","주택이외의 거처",1146,1575,1379,8,34,154,5879,2301,53,3024,501
"서구","오피스텔",73,73,73,X,X,X,172,172,X,X,X
"남구","계",40941,68768,68268,18,38,444,145500,141016,157,3672,655
"남구","주택",39908,67503,67063,9,X,431,139833,139128,71,X,634
"남구","단독주택",18563,45759,45407,X,X,348,86829,86298,29,X,502
"남구","아파트",14712,14722,14674,X,X,48,36669,36598,X,X,71
"남구","연립주택",513,513,512,X,X,X,1233,1231,X,X,X
"남구","다세대주택",5303,5308,5288,X,X,19,12493,12443,14,X,36
"남구","비거주용건물내 주택",817,1201,1182,X,X,15,2609,2558,28,X,23
"남구","주택이외의 거처",1033,1265,1205,9,38,13,5667,1888,86,3672,21
"남구","오피스텔",377,377,376,X,X,X,579,569,10,X,X
"북구","계",140833,176876,174696,34,50,2096,439297,425333,260,10224,3480
"북구","주택",137189,172437,170678,19,X,1740,422105,419207,143,X,2755
"북구","단독주택",19357,53349,51931,6,X,1412,99987,97770,41,X,2176
"북구","아파트",108491,108603,108393,X,X,207,296351,295988,22,X,341
