"행정구역별(시군구)","성별","연령별","항목","단위","2019 년",
"서울특별시","계","합계","일반가구원","","9096901",
"서울특별시","계","합계","1세대가구-계","","1312167",
"서울특별시","계","합계","1세대가구-부부","","1101570",
"서울특별시","계","합계","1세대가구-부부+미혼형제자매","","12232",
"서울특별시","계","합계","1세대가구-부부+기타 친인척","","3784",
"서울특별시","계","합계","1세대가구-가구주+미혼형제자매","","132347",
"서울특별시","계","합계","1세대가구-가구주+기타 친인척","","10236",
"서울특별시","계","합계","1세대가구-기타","","51998",
"서울특별시","계","합계","2세대가구-계","","5574160",
"서울특별시","계","합계","2세대가구-부부+미혼자녀","","4031269",
"서울특별시","계","합계","2세대가구-부+미혼자녀","","201564",
"서울특별시","계","합계","2세대가구-모+미혼자녀","","700717",
"서울특별시","계","합계","2세대가구-부부+양친","","12472",
"서울특별시","계","합계","2세대가구-부부+한부모","","48300",
"서울특별시","계","합계","2세대가구-부부+미혼자녀+부부미혼형제자매","","66182",
"서울특별시","계","합계","2세대가구-조부모+미혼손자녀","","27859",
"서울특별시","계","합계","2세대가구-조부 또는 조모+미혼손자녀","","27153",
"서울특별시","계","합계","2세대가구-기타","","458644",
"서울특별시","계","합계","3세대가구-계","","720726",
"서울특별시","계","합계","3세대가구-부부+미혼자녀+양친","","100486",
"서울특별시","계","합계","3세대가구-부부+미혼자녀+부친","","57654",
"서울특별시","계","합계","3세대가구-부부+미혼자녀+모친","","266786",
"서울특별시","계","합계","3세대가구-기타","","295800",
"서울특별시","계","합계","4세대이상 가구","","6127",
"서울특별시","계","합계","1인가구","","1299787",
"서울특별시","계","합계","비친족가구","","183934",
"서울특별시","계","15세미만","일반가구원","","983091",
"서울특별시","계","15세미만","1세대가구-계","","1202",
"서울특별시","계","15세미만","1세대가구-부부","","X",
"서울특별시","계","15세미만","1세대가구-부부+미혼형제자매","","X",
"서울특별시","계","15세미만","1세대가구-부부+기타 친인척","","149",
"서울특별시","계","15세미만","1세대가구-가구주+미혼형제자매","","337",
