"행정구역별(시군구)","성별","연령별","항목","단위","2019 년",
"경기도","계","합계","일반가구원","","12437493",
"경기도","계","합계","1세대가구-계","","1706029",
"경기도","계","합계","1세대가구-부부","","1508046",
"경기도","계","합계","1세대가구-부부+미혼형제자매","","15836",
"경기도","계","합계","1세대가구-부부+기타 친인척","","3870",
"경기도","계","합계","1세대가구-가구주+미혼형제자매","","97455",
"경기도","계","합계","1세대가구-가구주+기타 친인척","","10432",
"경기도","계","합계","1세대가구-기타","","70390",
"경기도","계","합계","2세대가구-계","","8184788",
"경기도","계","합계","2세대가구-부부+미혼자녀","","6153922",
"경기도","계","합계","2세대가구-부+미혼자녀","","298604",
"경기도","계","합계","2세대가구-모+미혼자녀","","867822",
"경기도","계","합계","2세대가구-부부+양친","","18216",
"경기도","계","합계","2세대가구-부부+한부모","","79392",
"경기도","계","합계","2세대가구-부부+미혼자녀+부부미혼형제자매","","89420",
"경기도","계","합계","2세대가구-조부모+미혼손자녀","","34579",
"경기도","계","합계","2세대가구-조부 또는 조모+미혼손자녀","","34366",
"경기도","계","합계","2세대가구-기타","","608467",
"경기도","계","합계","3세대가구-계","","1036283",
"경기도","계","합계","3세대가구-부부+미혼자녀+양친","","141794",
"경기도","계","합계","3세대가구-부부+미혼자녀+부친","","90777",
"경기도","계","합계","3세대가구-부부+미혼자녀+모친","","393643",
"경기도","계","합계","3세대가구-기타","","410069",
"경기도","계","합계","4세대이상 가구","","10711",
"경기도","계","합계","1인가구","","1290893",
"경기도","계","합계","비친족가구","","208789",
"경기도","계","15세미만","일반가구원","","1780295",
"경기도","계","15세미만","1세대가구-계","","1665",
"경기도","계","15세미만","1세대가구-부부","","X",
"경기도","계","15세미만","1세대가구-부부+미혼형제자매","","6",
"경기도","계","15세미만","1세대가구-부부+기타 친인척","","143",
"경기도","계","15세미만","1세대가구-가구주+미혼형제자매","","634",
"경기도","계","15세미만","1세대가구-가구주+기타 친인척","","431",
"경기도","계","15세미만","1세대가구-기타","","451",
"경기도","계","15세미만","2세대가구-계","","1586244",
"경기도","계","15세미만","2세대가구-부부+미혼자녀","","1368347",
"경기도","계","15세미만","2세대가구-부+미혼자녀","","46430",
"경기도","계","15세미만","2세대가구-모+미혼자녀","","102575",
"경기도","계","15세미만","2세대가구-부부+양친","","X",
"경기도","계","15세미만","2세대가구-부부+한부모","","X",
"경기도","계","15세미만","2세대가구-부부+미혼자녀+부부미혼형제자매","","20598",
"경기도","계","15세미만","2세대가구-조부모+미혼손자녀","","7138",
"경기도","계","15세미만","2세대가구-조부 또는 조모+미혼손자녀","","4464",
"경기도","계","15세미만","2세대가구-기타","","36692",
"경기도","계","15세미만","3세대가구-계","","187613",
"경기도","계","15세미만","3세대가구-부부+미혼자녀+양친","","30042",
"경기도","계","15세미만","3세대가구-부부+미혼자녀+부친","","20862",
"경기도","계","15세미만","3세대가구-부부+미혼자녀+모친","","68334",
"경기도","계","15세미만","3세대가구-기타","","68375",
"경기도","계","15세미만","4세대이상 가구","","2445",
"경기도","계","15세미만","1인가구","","11",
"경기도","계","15세미만","비친족가구","","2317",
"경기도","계","15~19세","일반가구원","","618620",
"경기도","계","15~19세","1세대가구-계","","4402",
"경기도","계","15~19세","1세대가구-부부","","119",
"경기도","계","15~19세","1세대가구-부부+미혼형제자매","","24",
"경기도","계","15~19세","1세대가구-부부+기타 친인척","","38",
"경기도","계","15~19세","1세대가구-가구주+미혼형제자매","","3781",
"경기도","계","15~19세","1세대가구-가구주+기타 친인척","","181",
"경기도","계","15~19세","1세대가구-기타","","259",
"경기도","계","15~19세","2세대가구-계","","544540",
"경기도","계","15~19세","2세대가구-부부+미혼자녀","","422371",
"경기도","계","15~19세","2세대가구-부+미혼자녀","","26769",
"경기도","계","15~19세","2세대가구-모+미혼자녀","","68272",
"경기도","계","15~19세","2세대가구-부부+양친","","18",
"경기도","계","15~19세","2세대가구-부부+한부모","","22",
"경기도","계","15~19세","2세대가구-부부+미혼자녀+부부미혼형제자매","","4406",
"경기도","계","15~19세","2세대가구-조부모+미혼손자녀","","2077",
"경기도","계","15~19세","2세대가구-조부 또는 조모+미혼손자녀","","2595",
"경기도","계","15~19세","2세대가구-기타","","18010",
"경기도","계","15~19세","3세대가구-계","","60600",
"경기도","계","15~19세","3세대가구-부부+미혼자녀+양친","","6439",
"경기도","계","15~19세","3세대가구-부부+미혼자녀+부친","","4996",
"경기도","계","15~19세","3세대가구-부부+미혼자녀+모친","","25059",
"경기도","계","15~19세","3세대가구-기타","","24106",
"경기도","계","15~19세","4세대이상 가구","","192",
"경기도","계","15~19세","1인가구","","7579",
"경기도","계","15~19세","비친족가구","","1307",
"경기도","계","20~24세","일반가구원","","670267",
"경기도","계","20~24세","1세대가구-계","","20137",
"경기도","계","20~24세","1세대가구-부부","","2989",
"경기도","계","20~24세","1세대가구-부부+미혼형제자매","","260",
"경기도","계","20~24세","1세대가구-부부+기타 친인척","","105",
"경기도","계","20~24세","1세대가구-가구주+미혼형제자매","","15392",
"경기도","계","20~24세","1세대가구-가구주+기타 친인척","","555",
"경기도","계","20~24세","1세대가구-기타","","836",
"경기도","계","20~24세","2세대가구-계","","525287",
"경기도","계","20~24세","2세대가구-부부+미혼자녀","","369787",
"경기도","계","20~24세","2세대가구-부+미혼자녀","","33017",
"경기도","계","20~24세","2세대가구-모+미혼자녀","","85902",
"경기도","계","20~24세","2세대가구-부부+양친","","150",
"경기도","계","20~24세","2세대가구-부부+한부모","","211",
"경기도","계","20~24세","2세대가구-부부+미혼자녀+부부미혼형제자매","","3571",
"경기도","계","20~24세","2세대가구-조부모+미혼손자녀","","2088",
"경기도","계","20~24세","2세대가구-조부 또는 조모+미혼손자녀","","4443",
"경기도","계","20~24세","2세대가구-기타","","26118",
"경기도","계","20~24세","3세대가구-계","","52514",
"경기도","계","20~24세","3세대가구-부부+미혼자녀+양친","","3849",
"경기도","계","20~24세","3세대가구-부부+미혼자녀+부친","","3540",
"경기도","계","20~24세","3세대가구-부부+미혼자녀+모친","","21516",
"경기도","계","20~24세","3세대가구-기타","","23609",
"경기도","계","20~24세","4세대이상 가구","","301",
"경기도","계","20~24세","1인가구","","62973",
"경기도","계","20~24세","비친족가구","","9055",
"경기도","계","25~29세","일반가구원","","853024",
"경기도","계","25~29세","1세대가구-계","","73983",
"경기도","계","25~29세","1세대가구-부부","","43577",
"경기도","계","25~29세","1세대가구-부부+미혼형제자매","","1362",
"경기도","계","25~29세","1세대가구-부부+기타 친인척","","239",
"경기도","계","25~29세","1세대가구-가구주+미혼형제자매","","25663",
"경기도","계","25~29세","1세대가구-가구주+기타 친인척","","1078",
"경기도","계","25~29세","1세대가구-기타","","2064",
"경기도","계","25~29세","2세대가구-계","","557807",
"경기도","계","25~29세","2세대가구-부부+미혼자녀","","377334",
"경기도","계","25~29세","2세대가구-부+미혼자녀","","32333",
"경기도","계","25~29세","2세대가구-모+미혼자녀","","94740",
"경기도","계","25~29세","2세대가구-부부+양친","","622",
"경기도","계","25~29세","2세대가구-부부+한부모","","1368",
"경기도","계","25~29세","2세대가구-부부+미혼자녀+부부미혼형제자매","","5013",
"경기도","계","25~29세","2세대가구-조부모+미혼손자녀","","1447",
"경기도","계","25~29세","2세대가구-조부 또는 조모+미혼손자녀","","4548",
"경기도","계","25~29세","2세대가구-기타","","40402",
