,date,seoul,daegu
0,2.18,0,1
2,2.19,1,15
3,2.20,7,14
5,2.21,5,80
6,2.22,3,83
8,2.23,1,117
9,2.24,4,173
11,2.25,6,60
13,2.26,8,167
14,2.27,7,422
16,2.28,6,448
17,2.29,15,656
19,3.1,10,469
20,3.2,4,376
22,3.3,7,520
24,3.4,1,405
25,3.5,4,321
27,3.6,2,367
28,3.7,3,390
30,3.8,12,297
31,3.9,10,190
33,3.10,11,92
34,3.11,52,131
36,3.12,19,73
38,3.13,13,61
39,3.14,13,62
41,3.15,9,41
42,3.16,6,35
44,3.17,12,32
45,3.18,5,46
47,3.19,12,97
49,3.20,17,34
50,3.21,15,69
52,3.22,10,43
53,3.23,6,24
55,3.24,4,31
56,3.25,13,14
58,3.26,13,26
59,3.27,12,34
61,3.28,18,71
63,3.29,20,23
64,3.30,16,14
66,3.31,24,60
67,4.1,24,20
69,4.2,14,21
70,4.3,18,9
72,4.4,22,27
74,4.5,24,7
75,4.6,11,13
77,4.7,4,13
78,4.8,11,9
80,4.9,12,4
81,4.10,5,0
83,4.11,4,7
85,4.12,3,2
86,4.13,8,3
88,4.14,2,3
89,4.15,5,1
91,4.16,2,4
92,4.17,2,0
94,4.18,1,3
95,4.19,2,2
97,4.20,0,1
99,4.21,2,2
100,4.22,2,1
102,4.23,0,4
103,4.24,0,2
105,4.25,1,3
106,4.26,0,1
108,4.27,0,1
110,4.28,4,2
111,4.29,0,3
113,4.30,0,0
114,5.1,1,0
116,5.2,1,0
117,5.3,2,4
119,5.4,0,0
120,5.5,0,0
122,5.6,0,0
124,5.7,0,0
125,5.8,0,3
127,5.9,12,0
128,5.10,14,2
130,5.11,20,0
131,5.12,12,1
133,5.13,12,3
135,5.14,4,0
136,5.15,14,3
138,5.16,5,1
139,5.17,5,1
141,5.18,1,1
142,5.19,6,0
144,5.20,10,1
146,5.21,4,0
147,5.22,2,0
149,5.23,4,1
150,5.24,6,0
152,5.25,6,1
153,5.26,9,1
155,5.27,19,3
156,5.28,24,2
158,5.29,20,0
160,5.30,9,2
161,5.31,6,1
163,6.1,1,1
164,6.2,14,0
166,6.3,19,1
167,6.4,14,0
169,6.5,15,1
171,6.6,23,0
172,6.7,27,1
174,6.8,22,1
175,6.9,19,0
177,6.10,12,0
178,6.11,21,0
180,6.12,25,1
181,6.13,28,3
183,6.14,12,2
185,6.15,7,0
186,6.16,12,0
188,6.17,13,1
189,6.18,25,1
191,6.19,18,0
192,6.20,14,2
194,6.21,17,1
196,6.22,5,1
197,6.23,6,1
199,6.24,11,2
200,6.25,9,0
202,6.26,17,0
203,6.27,17,1
205,6.28,14,0
207,6.29,7,2
208,6.30,7,0
210,7.1,9,1
211,7.2,13,3
213,7.3,12,13
214,7.4,7,1
216,7.5,16,0
217,7.6,3,0
219,7.7,3,1
221,7.8,10,1
222,7.9,8,0
224,7.10,8,0
225,7.11,8,0
227,7.12,7,0
228,7.13,13,1
230,7.14,7,0
232,7.15,6,0
233,7.16,7,2
235,7.17,9,0
236,7.18,6,3
238,7.19,10,0
239,7.20,3,2
241,7.21,21,2
242,7.22,16,1
244,7.23,12,0
246,7.24,21,2
247,7.25,11,0
249,7.26,7,0
250,7.27,9,0
252,7.28,6,0
253,7.29,9,0
255,7.30,3,0
257,7.31,8,1
258,8.1,2,0
260,8.2,5,2
261,8.3,5,0
263,8.4,9,0
264,8.5,6,1
266,8.6,9,0
268,8.7,9,0
269,8.8,17,1
271,8.9,13,1
272,8.10,13,0
274,8.11,6,0
275,8.12,15,0
277,8.13,26,1
278,8.14,32,0
