,date,patient
0,1.22,1
1,1.23,1
3,1.24,2
4,1.25,2
5,1.26,2
7,1.27,4
8,1.28,4
9,1.29,4
11,1.30,7
12,1.31,11
13,2.1,12
15,2.2,15
16,2.3,15
17,2.4,16
19,2.5,20
20,2.6,22
21,2.7,22
23,2.8,22
24,2.9,24
26,2.10,23
27,2.11,24
28,2.12,21
30,2.13,21
31,2.14,21
32,2.15,19
34,2.16,20
35,2.17,20
36,2.18,27
38,2.19,30
39,2.20,87
40,2.21,186
42,2.22,412
43,2.23,584
44,2.24,814
46,2.25,945
47,2.26,1
49,2.27,1
50,2.28,2
51,2.29,3
53,3.1,3
54,3.2,4
55,3.3,4
57,3.4,5
58,3.5,5
59,3.6,6
61,3.7,6
62,3.8,6
63,3.9,7
65,3.10,7
66,3.11,7
67,3.12,7
69,3.13,7
70,3.14,7
72,3.15,7
73,3.16,7
74,3.17,6
76,3.18,6
77,3.19,6
78,3.20,6
80,3.21,6
81,3.22,5
82,3.23,5
84,3.24,5
85,3.25,5
86,3.26,4
88,3.27,4
89,3.28,4
90,3.29,4
92,3.30,4
93,3.31,4
94,4.1,4
96,4.2,3
97,4.3,3
99,4.4,3
100,4.5,3
101,4.6,3
103,4.7,3
104,4.8,3
105,4.9,3
107,4.10,3
108,4.11,3
109,4.12,2
111,4.13,2
112,4.14,2
113,4.15,2
115,4.16,2
116,4.17,2
117,4.18,2
119,4.19,2
120,4.20,2
122,4.21,2
123,4.22,2
124,4.23,2
126,4.24,1
127,4.25,1
128,4.26,1
130,4.27,1
131,4.28,1
132,4.29,1
134,4.30,1
135,5.1,1
136,5.2,1
138,5.3,1
139,5.4,1
140,5.5,1
142,5.6,1
143,5.7,1
145,5.8,1
146,5.9,1
147,5.10,1
149,5.11,1
150,5.12,1
151,5.13,1
153,5.14,969
154,5.15,937
155,5.16,924
157,5.17,900
158,5.18,898
159,5.19,877
161,5.20,781
162,5.21,723
163,5.22,716
165,5.23,705
166,5.24,711
168,5.25,713
169,5.26,681
170,5.27,701
172,5.28,735
173,5.29,770
174,5.30,774
176,5.31,793
177,6.1,810
178,6.2,823
180,6.3,850
181,6.4,857
182,6.5,889
184,6.6,915
185,6.7,951
186,6.8,978
188,6.9,989
189,6.10,1
190,6.11,1
192,6.12,1
193,6.13,1
195,6.14,1
196,6.15,1
197,6.16,1
199,6.17,1
200,6.18,1
201,6.19,1
203,6.20,1
204,6.21,1
205,6.22,1
207,6.23,1
208,6.24,1
209,6.25,1
211,6.26,1
212,6.27,1
213,6.28,1
215,6.29,1
216,6.30,980
218,7.1,955
219,7.2,938
220,7.3,926
222,7.4,936
223,7.5,976
224,7.6,1
226,7.7,982
227,7.8,989
228,7.9,987
230,7.10,985
231,7.11,941
232,7.12,950
234,7.13,986
235,7.14,941
236,7.15,914
238,7.16,925
239,7.17,919
241,7.18,898
242,7.19,894
243,7.20,903
245,7.21,877
246,7.22,884
247,7.23,883
249,7.24,864
250,7.25,928
251,7.26,962
253,7.27,971
254,7.28,896
255,7.29,882
257,7.30,837
258,7.31,821
259,8.1,802
261,8.2,806
262,8.3,808
263,8.4,770
265,8.5,748
266,8.6,696
268,8.7,673
269,8.8,629
270,8.9,651
272,8.10,663
273,8.11,626
274,8.12,623
276,8.13,648
277,8.14,705
278,8.15,833
