,date,seoul,daegu
0,2.18,0,0
2,2.19,2,0
3,2.20,0,0
5,2.21,1,0
6,2.22,0,0
8,2.23,0,0
9,2.24,2,0
11,2.25,0,0
13,2.26,0,1
14,2.27,1,0
16,2.28,0,1
17,2.29,2,0
19,3.1,2,2
20,3.2,0,0
22,3.3,0,2
24,3.4,0,0
25,3.5,12,8
27,3.6,0,1
28,3.7,2,3
30,3.8,1,0
31,3.9,1,3
33,3.10,2,71
34,3.11,6,10
36,3.12,1,12
38,3.13,2,137
39,3.14,4,150
41,3.15,3,67
42,3.16,5,266
44,3.17,3,213
45,3.18,0,101
47,3.19,3,334
49,3.20,6,195
50,3.21,0,284
52,3.22,0,246
53,3.23,0,198
55,3.24,8,266
56,3.25,0,169
58,3.26,8,299
59,3.27,9,285
61,3.28,4,219
63,3.29,0,163
64,3.30,1,131
66,3.31,15,109
67,4.1,10,124
69,4.2,0,0
70,4.3,14,364
72,4.4,13,239
74,4.5,1,100
75,4.6,6,92
77,4.7,13,53
78,4.8,5,43
80,4.9,5,145
81,4.10,11,87
83,4.11,10,78
85,4.12,7,85
86,4.13,12,39
88,4.14,14,45
89,4.15,11,46
91,4.16,11,100
92,4.17,18,40
94,4.18,6,59
95,4.19,14,58
97,4.20,16,26
99,4.21,11,24
100,4.22,7,34
102,4.23,20,63
103,4.24,20,41
105,4.25,21,43
106,4.26,5,44
108,4.27,5,22
110,4.28,34,16
111,4.29,10,19
113,4.30,16,69
114,5.1,2,0
116,5.2,8,11
117,5.3,10,12
119,5.4,8,10
120,5.5,8,22
122,5.6,5,18
124,5.7,14,32
125,5.8,12,28
127,5.9,16,29
128,5.10,5,12
130,5.11,4,0
131,5.12,9,13
133,5.13,4,9
135,5.14,6,27
136,5.15,5,17
138,5.16,5,1
139,5.17,1,9
141,5.18,4,0
142,5.19,8,13
144,5.20,5,82
146,5.21,4,27
147,5.22,3,7
149,5.23,5,11
150,5.24,0,2
152,5.25,3,1
153,5.26,7,34
155,5.27,4,4
156,5.28,3,19
158,5.29,2,11
160,5.30,4,19
161,5.31,0,1
163,6.1,0,3
164,6.2,11,6
166,6.3,1,10
167,6.4,5,8
169,6.5,1,0
171,6.6,5,4
172,6.7,1,2
174,6.8,0,1
175,6.9,13,2
177,6.10,1,5
178,6.11,10,3
180,6.12,5,2
181,6.13,8,6
183,6.14,1,2
185,6.15,0,6
186,6.16,14,4
188,6.17,7,1
189,6.18,8,2
191,6.19,6,2
192,6.20,6,3
194,6.21,3,1
196,6.22,0,1
197,6.23,10,5
199,6.24,4,1
200,6.25,14,2
202,6.26,82,6
203,6.27,68,5
205,6.28,12,0
207,6.29,19,0
208,6.30,43,0
210,7.1,41,0
211,7.2,28,2
213,7.3,31,1
214,7.4,18,4
216,7.5,2,0
217,7.6,5,0
219,7.7,34,1
221,7.8,16,0
222,7.9,11,1
224,7.10,11,1
225,7.11,16,2
227,7.12,11,0
228,7.13,8,3
230,7.14,27,5
232,7.15,31,0
233,7.16,11,3
235,7.17,14,2
236,7.18,18,1
238,7.19,2,1
239,7.20,2,1
241,7.21,18,2
242,7.22,6,0
244,7.23,15,0
246,7.24,7,0
247,7.25,13,2
249,7.26,2,0
250,7.27,1,0
252,7.28,16,5
253,7.29,10,2
255,7.30,7,2
257,7.31,7,2
258,8.1,10,2
260,8.2,8,0
261,8.3,7,0
263,8.4,14,1
264,8.5,12,0
266,8.6,13,0
268,8.7,14,1
269,8.8,12,1
271,8.9,1,0
272,8.10,1,0
274,8.11,18,0
275,8.12,15,0
277,8.13,7,1
278,8.14,8,0
