weekly_from_mon,가맹점업종명,결제상품명,결제총액,결제횟수
2019-03-25,유통업 영리,양주사랑카드,7600,1
2019-03-25,일반휴게음식,양주사랑카드,26200,2
2019-03-25,일반휴게음식,여주사랑카드,14000,1
2019-04-01,건축자재,양주사랑카드,16500,1
2019-04-01,건축자재,여주사랑카드,5000,1
2019-04-01,기타의료기관,양주사랑카드,1000000,1
2019-04-01,농업,안성사랑카드,28600,1
2019-04-01,레저업소,광명사랑화폐,21900,2
2019-04-01,레저업소,군포愛머니,3000,1
2019-04-01,레저업소,부천페이,310700,3
2019-04-01,레저업소,수원페이,47500,3
2019-04-01,레저업소,안산사랑상품권 다온,21000,1
2019-04-01,레저업소,여주사랑카드,69800,4
2019-04-01,레져용품,광명사랑화폐,12000,1
2019-04-01,레져용품,안산사랑상품권 다온,8000,1
2019-04-01,레져용품,안성사랑카드,145200,2
2019-04-01,문화.취미,광명사랑화폐,88500,3
2019-04-01,문화.취미,군포愛머니,47500,1
2019-04-01,문화.취미,부천페이,150000,2
2019-04-01,문화.취미,양주사랑카드,55000,2
2019-04-01,문화.취미,여주사랑카드,123000,2
2019-04-01,문화.취미,이천사랑지역화폐,10000,1
2019-04-01,보건위생,광명사랑화폐,177000,6
2019-04-01,보건위생,군포愛머니,41000,3
2019-04-01,보건위생,부천페이,64600,4
2019-04-01,보건위생,수원페이,490000,9
2019-04-01,보건위생,안산사랑상품권 다온,10000,1
2019-04-01,보건위생,안성사랑카드,15000,1
2019-04-01,보건위생,양주사랑카드,212000,3
2019-04-01,보건위생,여주사랑카드,174000,7
2019-04-01,사무통신,군포愛머니,6500,1
2019-04-01,사무통신,부천페이,10000,1
2019-04-01,서적문구,광명사랑화폐,60300,4
2019-04-01,서적문구,군포愛머니,86700,4
2019-04-01,서적문구,수원페이,38260,2
2019-04-01,서적문구,여주사랑카드,33900,4
2019-04-01,수리서비스,광명사랑화폐,8100,2
2019-04-01,수리서비스,군포愛머니,136500,1
2019-04-01,수리서비스,부천페이,10000,1
2019-04-01,수리서비스,수원페이,37040,2
