weekly_from_mon,가맹점업종명,결제상품명,결제총액,결제횟수
2019-03-25,건강식품,양주사랑카드(정책),800000,1
2019-03-25,레저업소,양주사랑카드(정책),683500,9
2019-03-25,레져용품,양주사랑카드(정책),300000,1
2019-03-25,문화.취미,양주사랑카드(정책),19100,1
2019-03-25,보건위생,안성사랑카드(정책),30000,1
2019-03-25,보건위생,양주사랑카드(정책),920000,18
2019-03-25,서적문구,양주사랑카드(정책),38950,3
2019-03-25,수리서비스,양주사랑카드(정책),7800,2
2019-03-25,약국,양주사랑카드(정책),11100,2
2019-03-25,유통업 영리,안성사랑카드(정책),4900,1
2019-03-25,유통업 영리,양주사랑카드(정책),443760,31
2019-03-25,음료식품,부천페이(정책),10000,3
2019-03-25,음료식품,양주사랑카드(정책),617780,22
2019-03-25,의원,양주사랑카드(정책),43500,5
2019-03-25,일반휴게음식,안성사랑카드(정책),34000,1
2019-03-25,일반휴게음식,양주사랑카드(정책),5175640,144
2019-03-25,자동차정비 유지,양주사랑카드(정책),300000,1
2019-03-25,전기제품,양주사랑카드(정책),400000,1
2019-03-25,학원,양주사랑카드(정책),1012200,4
2019-03-25,회원제형태,양주사랑카드(정책),38000,3
2019-04-01,가구,안성사랑카드(정책),390000,1
2019-04-01,건강식품,안성사랑카드(정책),459000,1
2019-04-01,건강식품,양주사랑카드(정책),1242600,7
2019-04-01,건축자재,안성사랑카드(정책),574260,9
2019-04-01,광학제품,안성사랑카드(정책),112000,2
2019-04-01,광학제품,양주사랑카드(정책),14000,1
2019-04-01,기타,안성사랑카드(정책),133950,6
2019-04-01,기타의료기관,안성사랑카드(정책),471900,6
2019-04-01,기타의료기관,양주사랑카드(정책),40700,3
2019-04-01,농업,안성사랑카드(정책),25000,3
2019-04-01,레저업소,부천페이(정책),101400,6
2019-04-01,레저업소,안성사랑카드(정책),2238300,22
2019-04-01,레저업소,양주사랑카드(정책),948600,15
2019-04-01,레져용품,안성사랑카드(정책),15240200,61
